VMDProductNo,Name,MAHolder,VMNo,DateOfExpiration,AuthorisationRoute,Territory,ActiveSubstances,SPC_Link
A003432,Enacard Tablets for Dogs 10 mg,Boehringer Ingelheim Animal Health UK Ltd,08327/4197,2021-03-17,National,United Kingdom,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139133.PDF
A003436,Enacard Tablets for Dogs 20 mg,Boehringer Ingelheim Animal Health UK Ltd,08327/4198,2021-03-17,National,United Kingdom,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139134.PDF
A003665,Levitape Oral Suspension for Sheep,Boehringer Ingelheim Animal Health UK Ltd,08327/4248,2020-11-01,National,United Kingdom,"Levamisole Hydrochloride, Praziquantel",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_116716.PDF
A001346,Ubro Red Dry Cow Intramammary Suspension,Boehringer Ingelheim Animal Health UK Ltd,08327/4304,2020-11-01,National,United Kingdom,"Framycetin Sulphate, Penethamate hydriodide, non-micronised, Procaine Benzylpenicillin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_97067.PDF
A001347,Ubro Yellow Milking Cow Intramammary Suspension,Boehringer Ingelheim Animal Health UK Ltd,08327/4305,2020-11-01,National,United Kingdom,"Dihydrostreptomycin, Framycetin Sulphate, Penethamate hydriodide, non-micronised, Prednisolone",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134480.PDF
A001225,"Voren Suspension for Injection, 1 mg/ml",Boehringer Ingelheim Animal Health UK Ltd,08327/4321,2020-11-16,National,United Kingdom,Dexamethasone Isonicotinate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132246.PDF
A009104,RidaWorm 20mg Spot-on Solution for Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4046,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_831873.PDF
A009105,Ezi-Wormer 20mg Spot-on Solution for Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4047,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_831941.PDF
A009106,Prazpronto 20 mg Spot-on Solution for Small Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4048,2023-11-28,National,Great Britain,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_795100.PDF
A012332,Prazpronto 20 mg Spot-on Solution for Small Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4048,2023-11-28,Mutually Recognised,Northern Ireland,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_795100.PDF
A009107,WormIt 20mg Spot-on Solution for Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4049,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_779840.PDF
A009108,TapeNil 20mg Spot-on Solution for Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4050,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_777336.PDF
A009109,Itch Wormer 20mg Spot-On Solution for Cats & Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4051,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_779837.PDF
A009110,WormCat 20mg Spot-on Solution for Cats and Kittens,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4052,2023-11-28,National,United Kingdom,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_831779.PDF
A009541,RidaWorm 100mg Film-Coated Tablets for Dogs ,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4072,2024-02-19,National,United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1615033.PDF
A009542,RidaWorm 500mg Film-Coated Tablets for Dogs ,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4073,2024-02-19,National,United Kingdom,Nitroscanate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1615656.PDF
A009579,Niltrem 34 mg/ml Oral Suspension for Cattle ,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4076,2020-12-17,Mutually Recognised,,Oxyclozanide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1027977.PDF
A010524,Prazpronto 40mg Spot-on Solution for Medium Cats,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4091,2023-11-28,National,Great Britain,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1931207.PDF
A012333,Prazpronto 40mg Spot-on Solution for Medium Cats,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4091,2023-11-28,Mutually Recognised,Northern Ireland,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1931207.PDF
A012334,Prazpronto 60mg Spot-on Solution for Large Cats,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4092,2023-11-28,Mutually Recognised,Northern Ireland,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1931615.PDF
A010525,Prazpronto 60mg Spot-on Solution for Large Cats,Chanelle Pharmaceuticals Manufacturing Ltd,08749/4092,2023-11-28,National,Great Britain,Praziquantel,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1931615.PDF
A007514,"Enrocare 25 mg/ml Solution for Injection for Dogs, Cats, Rabbits, Rodents, Reptiles and Ornamental birds",Animalcare Ltd,10347/4028,2023-04-26,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_272046.PDF
A011747,"Enrocare 25 mg/ml Solution for Injection for Dogs, Cats, Rabbits, Rodents, Reptiles and Ornamental birds",Animalcare Ltd,10347/4028,2023-04-26,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_272046.PDF
A011748,"Enrocare 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",Animalcare Ltd,10347/4029,2023-04-26,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_271598.PDF
A007515,"Enrocare 50 mg/ml Solution for Injection for Cattle, Pigs, Dogs and Cats",Animalcare Ltd,10347/4029,2023-04-26,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_271598.PDF
A007516,Enrocare 100 mg/ml Solution for Injection for Cattle and Pigs,Animalcare Ltd,10347/4030,2023-04-26,National,Great Britain,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_271596.PDF
A011745,Enrocare 100 mg/ml Solution for Injection for Cattle and Pigs,Animalcare Ltd,10347/4030,2023-04-26,Mutually Recognised,Northern Ireland,Enrofloxacin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_271596.PDF
A012006,"Isocare 1000 mg/g Inhalation Vapour, Liquid",Animalcare Ltd,10347/4036,2022-11-24,Mutually Recognised,Northern Ireland,Isoflurane,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1011959.PDF
A009366,"Isocare 1000 mg/g Inhalation Vapour, Liquid",Animalcare Ltd,10347/4036,2022-11-24,National,Great Britain,Isoflurane,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1011959.PDF
A005973,Urilin 40 mg/ml Syrup for Dogs,Dechra Limited,10434/4003,2023-07-19,National,Great Britain,Phenylpropanolamine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_170684.PDF
A012609,Urilin 40 mg/ml Syrup for Dogs,Dechra Limited,10434/4003,2023-07-19,Mutually Recognised,Northern Ireland,Phenylpropanolamine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_170684.PDF
A006304,Ovuplant 2.1 mg Implantation Tablets for Horses (Mares),Dechra Limited,10434/4063,2021-01-28,National,Great Britain,Deslorelin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_130698.PDF
A012229,Ovuplant 2.1 mg Implantation Tablets for Horses (Mares),Dechra Limited,10434/4063,2021-01-28,Mutually Recognised,Northern Ireland,Deslorelin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_130698.PDF
A003966,Anivit B12 Solution for Injection 1000 µg/ml,Dechra Limited,10434/4064,2020-10-23,National (Informed Consent),United Kingdom,Cyanocobalamin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135718.PDF
A003431,Frusecare 40 mg Tablets,Dechra Limited,10434/4066,2020-10-23,National (Informed Consent),United Kingdom,Furosemide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_132901.PDF
A003967,Anivit B12 Solution for Injection 250 µg/ml,Dechra Limited,10434/4067,2020-10-23,National (Informed Consent),United Kingdom,Cyanocobalamin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135717.PDF
A008613,"Buprenodale Multidose 0.3 mg/ml Solution for Injection for Dogs, Cats and Horses",Dechra Limited,10434/4081,2021-11-30,National,Great Britain,Buprenorphine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_507025.PDF
A011475,"Buprenodale Multidose 0.3 mg/ml Solution for Injection for Dogs, Cats and Horses",Dechra Limited,10434/4081,2021-11-30,Mutually Recognised,Northern Ireland,Buprenorphine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_507025.PDF
A003412,Vetremox Fish 100% w/w Powder for Top-Dressing Use,Pharmaq Ltd,11003/4005,2021-08-13,National (Informed Consent),United Kingdom,Amoxicillin Trihydrate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_139224.PDF
A008255,VetWorm Plus Tablets for Dogs,Chanelle Animal Health Ltd,11990/4062,2024-02-27,National,United Kingdom,"Febantel, Praziquantel, Pyrantel Embonate",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_356090.PDF
A005353,Depidex Drench 0.08% w/v Oral Solution for Sheep,Novartis Animal Health UK Ltd,12501/4110,2021-04-19,National (Informed Consent),United Kingdom,Ivermectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_109011.PDF
A001173,"Paracide 62 %w/v, Concentrate for Dip Emulsion",Animax Ltd,14016/4007,2023-07-19,National,United Kingdom,Dimpylate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_124630.PDF
A009231,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Cats 0.5-5 kg,Ceva Sante Animale,14966/4012,2024-02-26,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836038.PDF
A011868,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Cats 0.5-5 kg,Ceva Sante Animale,14966/4012,2024-02-26,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836038.PDF
A011871,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 2-10 kg and Cats > 5kg,Ceva Sante Animale,14966/4013,2024-02-26,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836030.PDF
A009232,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 2-10 kg and Cats > 5kg,Ceva Sante Animale,14966/4013,2024-02-26,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836030.PDF
A009233,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 10-20 kg,Ceva Sante Animale,14966/4014,2024-02-26,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836036.PDF
A011869,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 10-20 kg,Ceva Sante Animale,14966/4014,2024-02-26,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836036.PDF
A011870,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 20-40 kg,Ceva Sante Animale,14966/4015,2024-02-26,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836032.PDF
A009234,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 20-40 kg,Ceva Sante Animale,14966/4015,2024-02-26,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836032.PDF
A009235,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 40-60 kg,Ceva Sante Animale,14966/4016,2024-02-26,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836028.PDF
A011872,Fipronil-(S)-Methoprene Ceva Spot-on Solution for Dogs 40-60 kg,Ceva Sante Animale,14966/4016,2024-02-26,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_836028.PDF
A012321,Pracetam 10% Premix for Medicated Feeding Stuff for Pigs,Ceva Animal Health Ltd,15052/3003,2023-07-19,Mutually Recognised,Northern Ireland,Paracetamol,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2363148.PDF
A002360,Erythrocin 16.5% w/w Soluble Powder for Oral Solution,Ceva Animal Health Ltd,15052/4000,2024-02-19,National (Informed Consent),United Kingdom,Erythromycin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_134429.PDF
A002799,Seleen Shampoo 1% w/v,Ceva Animal Health Ltd,15052/4010,2024-02-19,National,United Kingdom,Selenium Sulphide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_135566.PDF
A006525,"Prilenal 1 mg, Tablets",Ceva Animal Health Ltd,15052/4023,2024-02-19,National,Great Britain,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127258.PDF
A012347,"Prilenal 1 mg, Tablets",Ceva Animal Health Ltd,15052/4023,2024-02-19,Mutually Recognised,Northern Ireland,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127258.PDF
A012349,"Prilenal 2.5 mg, Tablets",Ceva Animal Health Ltd,15052/4024,2024-02-19,Mutually Recognised,Northern Ireland,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127260.PDF
A006526,"Prilenal 2.5 mg, Tablets",Ceva Animal Health Ltd,15052/4024,2024-02-19,National,Great Britain,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127260.PDF
A006529,"Prilenal 10 mg, Tablets",Ceva Animal Health Ltd,15052/4026,2024-02-19,National,Great Britain,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127259.PDF
A012348,"Prilenal 10 mg, Tablets",Ceva Animal Health Ltd,15052/4026,2024-02-19,Mutually Recognised,Northern Ireland,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127259.PDF
A012350,"Prilenal 20 mg, Tablets",Ceva Animal Health Ltd,15052/4027,2024-02-19,Mutually Recognised,Northern Ireland,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127261.PDF
A006528,"Prilenal 20 mg, Tablets",Ceva Animal Health Ltd,15052/4027,2024-02-19,National,Great Britain,Enalapril Maleate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_127261.PDF
A007496,Colibird 2 MIU/ml Solution for Use in Drinking Water for Chickens,Ceva Animal Health Ltd,15052/4042,2024-02-19,National,United Kingdom,Colistin Sulphate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_289712.PDF
A007773,Syncrostim 500 IU Lyophilisate and Solvent for Solution for Injection for Cattle and Sheep,Ceva Animal Health Ltd,15052/4049,2024-03-21,National,Great Britain,Serum Gonadotrophin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_302719.PDF
A012522,Syncrostim 500 IU Lyophilisate and Solvent for Solution for Injection for Cattle and Sheep,Ceva Animal Health Ltd,15052/4049,2024-03-21,Mutually Recognised,Northern Ireland,Serum Gonadotrophin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_302719.PDF
A007674,Fertipig HCG 40 IU/ml / PMSG 80 IU/ml Lyophilisate and Solvent for Solution for Injection for Pigs ,Ceva Animal Health Ltd,15052/4050,2023-01-23,National,Great Britain,"Chorionic Gonadotrophin, Serum Gonadotrophin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_262740.PDF
A011828,Fertipig HCG 40 IU/ml / PMSG 80 IU/ml Lyophilisate and Solvent for Solution for Injection for Pigs ,Ceva Animal Health Ltd,15052/4050,2023-01-23,Mutually Recognised,Northern Ireland,"Chorionic Gonadotrophin, Serum Gonadotrophin",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_262740.PDF
A011694,Duoflect Spot-on Solution for Cats 0.5-5 kg ,Ceva Animal Health Ltd,15052/4062,2024-02-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577696.PDF
A008720,Duoflect Spot-on Solution for Cats 0.5-5 kg ,Ceva Animal Health Ltd,15052/4062,2024-02-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577696.PDF
A008721,Duoflect Spot-on Solution for Dogs 2-10 kg and Cats > 5kg,Ceva Animal Health Ltd,15052/4063,2024-02-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577717.PDF
A011697,Duoflect Spot-on Solution for Dogs 2-10 kg and Cats > 5kg,Ceva Animal Health Ltd,15052/4063,2024-02-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577717.PDF
A011695,Duoflect Spot-on Solution for Dogs 10-20 kg,Ceva Animal Health Ltd,15052/4064,2024-02-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577707.PDF
A008722,Duoflect Spot-on Solution for Dogs 10-20 kg,Ceva Animal Health Ltd,15052/4064,2024-02-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577707.PDF
A008723,Duoflect Spot-on Solution for Dogs 20-40 kg,Ceva Animal Health Ltd,15052/4065,2024-02-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577710.PDF
A011696,Duoflect Spot-on Solution for Dogs 20-40 kg,Ceva Animal Health Ltd,15052/4065,2024-02-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577710.PDF
A011698,Duoflect Spot-on Solution for Dogs 40-60 kg,Ceva Animal Health Ltd,15052/4066,2024-02-19,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577705.PDF
A008724,Duoflect Spot-on Solution for Dogs 40-60 kg,Ceva Animal Health Ltd,15052/4066,2024-02-19,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_577705.PDF
A009099,Strectis 121 mg/60 mg Spot-on Solution for Cats 5-10kg,Ceva Animal Health Ltd,15052/4071,2024-03-21,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_735689.PDF
A012509,Strectis 121 mg/60 mg Spot-on Solution for Cats 5-10kg,Ceva Animal Health Ltd,15052/4071,2024-03-21,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_735689.PDF
A009123,"Eprecis 5 mg/ml Pour-on Solution for Cattle, Sheep and Goats ",Ceva Animal Health Ltd,15052/4072,2024-02-19,National,Great Britain,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_793182.PDF
A011775,"Eprecis 5 mg/ml Pour-on Solution for Cattle, Sheep and Goats ",Ceva Animal Health Ltd,15052/4072,2024-02-19,Mutually Recognised,Northern Ireland,Eprinomectin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_793182.PDF
A011811,"Exflow 10 mg/g Powder for Use in Drinking Water for Cattle (Calves), Pigs, Chickens, Turkeys and Ducks",Ceva Animal Health Ltd,15052/4073,2024-02-19,Mutually Recognised,Northern Ireland,Bromhexine Hydrochloride,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_869973.PDF
A012510,Strectis 68mg/34mg Spot-on Solution for Cats 0.5-5 kg,Ceva Animal Health Ltd,15052/4077,2024-03-21,Mutually Recognised,Northern Ireland,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_937435.PDF
A009311,Strectis 68mg/34mg Spot-on Solution for Cats 0.5-5 kg,Ceva Animal Health Ltd,15052/4077,2024-03-21,National,Great Britain,"(S)-Methoprene, Fipronil",https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_937435.PDF
A009456,Circogen Emulsion for Injection for Pigs,Ceva Animal Health Ltd,15052/4087,2022-11-29,National,Great Britain,Porcine circovirus-2,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1111992.PDF
A011574,Circogen Emulsion for Injection for Pigs,Ceva Animal Health Ltd,15052/4087,2022-11-29,Mutually Recognised,Northern Ireland,Porcine circovirus-2,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1111992.PDF
A008959,Amlodipine 1.25 mg Ceva Chewable Tablets for Cats,Ceva Animal Health Ltd,15052/4091,2022-01-13,National,Great Britain,Amlodipine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_753506.PDF
A011333,Amlodipine 1.25 mg Ceva Chewable Tablets for Cats,Ceva Animal Health Ltd,15052/4091,2022-01-13,Mutually Recognised,Northern Ireland,Amlodipine,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_753506.PDF
A012252,Perlium Amoxival 100 mg/g Premix for Medicated Feeding Stuff for Pigs,Ceva Animal Health Ltd,15052/4111,2023-01-26,Mutually Recognised,Northern Ireland,Amoxicillin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_284704.PDF
A012297,"Plenix LC 75 mg, Intramammary Ointment for Lactating Cows",Ceva Animal Health Ltd,15052/4129,2024-02-19,Mutually Recognised,Northern Ireland,Cefquinome,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1233419.PDF
A009608,"Plenix LC 75 mg, Intramammary Ointment for Lactating Cows",Ceva Animal Health Ltd,15052/4129,2024-02-19,National,Great Britain,Cefquinome,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1233419.PDF
A012442,Seclaris DC 250 mg Intramammary Suspension for Dry Cows ,Ceva Animal Health Ltd,15052/4139,2024-02-19,Mutually Recognised,Northern Ireland,Cephalonium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1298037.PDF
A009711,Seclaris DC 250 mg Intramammary Suspension for Dry Cows ,Ceva Animal Health Ltd,15052/4139,2024-02-19,National,Great Britain,Cephalonium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1298037.PDF
A010280,Persovac Lyophilisate and Solvent for Suspension for Injection for Pigs,Ceva Animal Health Ltd,15052/4153,2022-04-27,National,Great Britain,Porcine respiratory and reproductive syndrome virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1785976.PDF
A012254,Persovac Lyophilisate and Solvent for Suspension for Injection for Pigs,Ceva Animal Health Ltd,15052/4153,2022-04-27,Mutually Recognised,Northern Ireland,Porcine respiratory and reproductive syndrome virus,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1785976.PDF
A010065,Tyljet 200 mg/ml Solution for Injection for Cattle and Pigs ,Ceva Animal Health Ltd,15052/4157,2024-03-21,National,Great Britain,Tylosin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1515090.PDF
A012598,Tyljet 200 mg/ml Solution for Injection for Cattle and Pigs ,Ceva Animal Health Ltd,15052/4157,2024-03-21,Mutually Recognised,Northern Ireland,Tylosin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1515090.PDF
A009728,Rabitec Oral Suspension for Foxes and Racoon Dogs,Ceva Animal Health Ltd,15052/5015,2022-01-19,National,Great Britain,Rabies virus,https://www.ema.europa.eu/en/veterinary-regulatory-overview/veterinary-medicinal-products-regulation/union-product-database
A010469,Enteroporc COLI Suspension for Injection for Pigs ,Ceva Animal Health Ltd,15052/5031,2024-03-27,National,Great Britain,Escherichia coli,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2015937.PDF
A002628,Deosan Summer Teatcare Plus ( 0.425% w/w ) Teat Dip and Teat Spray Emulsion,Diversey Ltd,15985/4011,2019-12-05,National,United Kingdom,Chlorhexidine Gluconate,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_138093.PDF
A013352,Lethobarb 20% w/v Solution for Injection,Ayrton Saunders Limited,16431/3000,2022-11-29,National (Informed Consent),Northern Ireland,Pentobarbital Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2442915.PDF
A013353,Pentobarbital for Euthanasia 20% w/v Solution for Injection,Ayrton Saunders Limited,16431/3001,2022-11-29,National,Northern Ireland,Pentobarbital Sodium,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2442975.PDF
A013354,Phenylbutazone Tablets 200 mg,Ayrton Saunders Limited,16431/3002,2022-11-29,National (Informed Consent),Northern Ireland,Phenylbutazone,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2443040.PDF
