VMDProductNo,Name,MAHolder,Distributors,VMNo,DateOfIssue,AuthorisationRoute,Territory,ActiveSubstances,ControlledDrug,TargetSpecies,DistributionCategory,PharmaceuticalForm,TherapeuticGroup,SPC_Link,UKPAR_Link,PAAR_Link
A011706,Ectofly 12.5 mg/ml Pour-on Solution for Sheep,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4017,2011-04-05,Mutually Recognised,Northern Ireland,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_319439.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_411347.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_331887.PDF
A008083,Ectofly 12.5 mg/ml Pour-on Solution for Sheep,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4017,2011-04-05,National,Great Britain,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_319439.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_411347.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_331887.PDF
A005870,Endofluke 100 mg/ml Oral Suspension,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4018,2003-02-20,National,Great Britain,Triclabendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_181388.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2578842.PDF
A011740,Endofluke 100 mg/ml Oral Suspension,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4018,2003-02-20,Mutually Recognised,Northern Ireland,Triclabendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_181388.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2578842.PDF
A011923,Fly Off 12.5 mg/ml Pour-on Solution for Sheep,Bimeda Animal Health Limited,<span>United Farmers Ltd</span>,50146/4019,2014-12-10,Mutually Recognised,Northern Ireland,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_696312.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_762048.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_819897.PDF
A008832,Fly Off 12.5 mg/ml Pour-on Solution for Sheep,Bimeda Animal Health Limited,<span>United Farmers Ltd</span>,50146/4019,2014-12-10,National,Great Britain,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_696312.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_762048.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_819897.PDF
A006484,"Maximec Horse Oral Paste, 18.7 mg/g",Bimeda Animal Health Limited,<span>Eli Lilly and Company Limited</span>,50146/4020,2005-09-22,National,Great Britain,Ivermectin,N,Horses,POM-VPS,Oral paste,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141537.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_177178.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_585235.PDF
A012072,"Maximec Horse Oral Paste, 18.7 mg/g",Bimeda Animal Health Limited,<span>Eli Lilly and Company Limited</span>,50146/4020,2005-09-22,Mutually Recognised,Northern Ireland,Ivermectin,N,Horses,POM-VPS,Oral paste,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141537.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_177178.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_585235.PDF
A009521,"Vetroxy LA 200 mg/ml Solution for Injection for Cattle, Sheep and Pigs",Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4021,2017-01-25,National,Great Britain,Oxytetracycline,N,"Cattle, Pigs, Sheep",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1112149.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1141796.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1294434.PDF
A012655,"Vetroxy LA 200 mg/ml Solution for Injection for Cattle, Sheep and Pigs",Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4021,2017-01-25,Mutually Recognised,Northern Ireland,Oxytetracycline,N,"Cattle, Pigs, Sheep",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1112149.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1141796.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1294434.PDF
A006802,Bimamix Oral Suspension for Calves,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4022,2007-06-12,National,United Kingdom,"Neomycin, Sulfadiazine",N,Cattle,POM-V,Oral suspension,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_184403.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_184510.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_431727.PDF
A008952,Dectospot 10 mg/ml Spot-on Solution for Cattle and Sheep,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4023,2015-03-27,National,United Kingdom,Deltamethrin,N,"Cattle, Sheep",POM-VPS,Spot-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_780914.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_817624.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_880490.PDF
A002348,Endospec SC 10% w/v Oral Suspension,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4025,1996-04-02,National,United Kingdom,Albendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_106954.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_544210.PDF
A006354,"Bilosin 200mg/ml, Solution for Injection",Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4026,2004-05-25,National,United Kingdom,Tylosin,N,Pigs,POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_131097.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_529470.PDF
A001506,Bimotrim Co Injection Solution for Injection,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4027,1992-12-22,National,United Kingdom,"Sulfadoxine, Trimethoprim",N,"Cattle, Horses",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_126398.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_529536.PDF
A001633,Tetroxy L.A. 200 mg/ml Oxytetracycline Solution for Injection,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4028,1990-11-12,National,United Kingdom,Oxytetracycline,N,"Cattle, Pigs, Sheep",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_137170.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_578716.PDF
A000102,Vitamin B1 10% w/v Solution for Injection,Bimeda Animal Health Limited,<span>Bimeda ®</span>,50146/4029,1993-05-27,National,United Kingdom,Thiamine Hydrochloride,N,"Cattle, Sheep",POM-V,Solution for injection,Vitamin,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_98971.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_584123.PDF
A002349,Endospec SC 2.5% w/v Oral Suspension,Bimeda Animal Health Limited,"<span>Bimeda ®, Cross Vetpharm Group UK Ltd.</span>",50146/4030,1996-04-02,National,United Kingdom,Albendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic flukicide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_60193.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_544271.PDF
A003305,"Gold Fleece Sheep Dip, 608 mg/ml Concentrate for Dip Emulsion",Bimeda Animal Health Limited,"<span>Bimeda ®, Cross Vetpharm Group UK Ltd.</span>",50146/4031,1996-10-01,National,United Kingdom,Dimpylate,N,Sheep,POM-VPS,Concentrate for dip solution,Ectoparasiticide sheep dip,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_136742.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_556367.PDF
A005359,Ovidrench S & C 10% w/v Oral Suspension for Cattle and Sheep,Bimeda Animal Health Limited,<span>United Farmers Ltd.</span>,50146/4032,2001-12-17,National (Informed Consent),United Kingdom,Albendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_141203.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_558992.PDF
A005358,Ovidrench S & C 2.5% w/v Oral Suspension for Cattle and Sheep,Bimeda Animal Health Limited,<span>United Farmers Ltd</span>,50146/4033,2001-11-27,National (Informed Consent),United Kingdom,Albendazole,N,"Cattle, Sheep",POM-VPS,Oral suspension,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_112480.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_559017.PDF
A006930,Alomec 18.7 mg/g Oral Paste for Horses,Bimeda Animal Health Limited,<span>GBA International</span>,50146/4034,2009-12-02,National,United Kingdom,Ivermectin,N,Horses,POM-VPS,Oral paste,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_269854.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_273625.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_358805.PDF
A005859,Ampicare 250 mg Hard Capsules,Bimeda Animal Health Limited,<span>Animalcare Ltd</span>,50146/4035,2000-03-24,National (Informed Consent),United Kingdom,Ampicillin,N,Dogs,POM-V,"Capsule, hard",Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_131096.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_523880.PDF
A006029,Bimectin Horse Oral Paste 18.7 mg/g,Bimeda Animal Health Limited,"<span>Bimeda ®, Cross Vetpharm Group UK Ltd.</span>",50146/4036,2003-09-25,National (Informed Consent),United Kingdom,Ivermectin,N,Horses,POM-VPS,Oral paste,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_131098.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_529502.PDF
A008408,Vectocert 1.25 % w/v Pour-on Solution for Sheep,Bimeda Animal Health Limited,<span>Downland Marketing Limited</span>,50146/4037,2012-04-13,National,United Kingdom,Cypermethrin Cis 80:Trans 20,N,Sheep,POM-VPS,Pour-on solution,Ectoparasiticide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_385229.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_395799.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_489596.PDF
A010083,"Maximec Plus 10 mg/ml + 100 mg/ml Solution for Injection 
for Cattle",Bimeda Animal Health Limited,<span>Downland Marketing Limited</span>,50146/4038,2019-05-08,National,United Kingdom,"Clorsulon, Ivermectin",N,Cattle,POM-VPS,Solution for injection,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1598988.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1333117.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2013682.PDF
A010688,Bimprocil 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4040,2021-06-21,National,Great Britain,Procaine Benzylpenicillin,N,"Cattle, Pigs, Sheep",POM-V,Suspension for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2124117.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2455738.PDF
A012906,Bimprocil 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4040,2021-06-21,Mutually Recognised,Northern Ireland,Procaine Benzylpenicillin,N,"Cattle, Pigs, Sheep",POM-V,Suspension for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2124117.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2455738.PDF
A012907,Procipen 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4041,2021-06-18,Mutually Recognised,Northern Ireland,Procaine Benzylpenicillin,N,"Cattle, Pigs, Sheep",POM-V,Suspension for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2124178.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2728117.PDF
A010689,Procipen 300 mg/ml Suspension for Injection for Cattle Sheep and Pigs,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4041,2021-06-18,National,Great Britain,Procaine Benzylpenicillin,N,"Cattle, Pigs, Sheep",POM-V,Suspension for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2124178.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2728117.PDF
A010544,"Macrosyn 100 mg/ml Solution for Injection for Cattle, Pigs and Sheep",Bimeda Animal Health Limited,<span>Cross Vetpharm Group UK Ltd</span>,50146/4042,2020-08-24,National,United Kingdom,Tulathromycin,N,"Cattle, Pigs, Sheep",POM-V,Solution for injection,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1903597.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1699038.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1930365.PDF
A010516,Bimeprazol 370 mg/g Oral Paste for Horses,Bimeda Animal Health Limited,<span>Cross Vetpharm Group UK Ltd</span>,50146/4043,2020-08-18,National,United Kingdom,Omeprazole,N,Horses,POM-V,Oral paste,Gastrointestinal,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1902849.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1675739.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1932976.PDF
A010778,Bimamec 5 mg/ml Pour-On Solution for Cattle,Bimeda Animal Health Limited,<span>Cross Vetpharm Group UK Ltd (Trading as Bimeda)</span>,50146/4044,2022-07-08,National,United Kingdom,Ivermectin,N,Cattle,POM-VPS,Pour-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2359658.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_2406065.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2398313.PDF
A010608,Bimacure 500mg Intrauterine Suspension for Cattle,Bimeda Animal Health Limited,<span>Bimeda Animal Health Limited</span>,50146/4045,2022-06-15,National,United Kingdom,Cefapirin,N,Cattle,POM-V,Intrauterine suspension,Antimicrobial,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2346826.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_2394148.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2401690.PDF
A010767,Selaspot 15 mg Spot-on Solution for Cats and Dogs ≤ 2.5 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4046,2023-03-22,National,United Kingdom,Selamectin,N,"Cats, Dogs",POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523416.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581554.PDF
A010768,Selaspot 30 mg Spot-on Solution for Dogs 2.6 – 5.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4047,2023-03-22,National,United Kingdom,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523465.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581602.PDF
A010769,Selaspot 45 mg Spot-on Solution for Cats 2.6 – 7.5 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4048,2023-03-22,National,United Kingdom,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523648.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581674.PDF
A010770,Selaspot 60 mg Spot-on Solution for Cats 7.6 – 10.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4049,2023-03-22,National,United Kingdom,Selamectin,N,Cats,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523670.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581776.PDF
A010771,Selaspot 60 mg Spot-on Solution for Dogs 5.1 – 10.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4050,2023-03-22,National,United Kingdom,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523716.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581810.PDF
A010772,Selaspot 120 mg Spot-on Solution for Dogs 10.1–20.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4051,2023-03-22,National,United Kingdom,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2522646.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581524.PDF
A010773,Selaspot 240 mg Spot-on Solution for Dogs 20.1 – 40.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4052,2023-03-22,National,United Kingdom,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523448.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581574.PDF
A010774,Selaspot 360 mg Spot-on Solution for Dogs 40.1 – 60.0 kg,Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/4053,2023-03-22,National,United Kingdom,Selamectin,N,Dogs,POM-V,Spot-on solution,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2523614.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1936353.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2581656.PDF
A007892,"Recocam 20 mg/ml Solution for Injection for Cattle, Pigs and Horses",Bimeda Animal Health Limited,<span>Bimeda (Division of Cross Vetpharm Group (UK) Ltd)</span>,50146/5000,2011-09-13,National,Great Britain,Meloxicam,N,"Cattle, Horses, Pigs",POM-V,Solution for injection,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2332733.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2024529.PDF
A012955,Moxisolv LA 100 mg/ml Solution for Injection for Cattle,Bimeda Animal Health Limited,<span>Bimeda Animal Health Limited</span>,50146/5001,2023-03-31,National,Great Britain,Moxidectin,N,Cattle,POM-VPS,Solution for injection,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2530583.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2607008.PDF
A012957,MoxiSolv 18.92 mg/g Oral Gel for Horses and Ponies,Bimeda Animal Health Limited,<span>Cross Vetpharm Group UK Ltd</span>,50146/5002,2023-01-24,National,Great Britain,Moxidectin,N,Horses,POM-VPS,Oral gel,Endectocide,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2484365.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_2497369.PDF,
A009980,Cronyxin 50 mg/g Oral Paste for Horses ,Bimeda Animal Health Limited,<span>Bimeda Animal Health Limited</span>,50146/5004,2018-11-01,National,Great Britain,Flunixin,N,Horses,POM-V,Oral paste,Anti Inflammatory NSAID,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1477067.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1949944.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_1863867.PDF
A013024,"Fluboral 200 mg/ml, Suspension for Use in Drinking Water for Pigs and Chickens",Dechra Regulatory BV,<span>Dechra Limited</span>,50406/3000,2023-04-19,Mutually Recognised,Northern Ireland,Flubendazole,N,"Chickens, Pigs",POM-VPS,Suspension for use in drinking water,Anthelmintic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2538879.PDF,,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2681544.PDF
A012491,Solupam 5 mg/ml Solution for Injection for Dogs and Cats,Dechra Regulatory BV,<span>Dechra Regulatory BV</span>,50406/3001,2019-02-20,Mutually Recognised,Northern Ireland,Diazepam,4,"Cats, Dogs",POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2405851.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1988636.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2405867.PDF
A011670,Dormazolam 5 mg/ml Solution for Injection for Horses,Dechra Regulatory B.V.,<span>Dechra Veterinary Products Limited</span>,50406/3006,2017-08-21,Mutually Recognised,Northern Ireland,Midazolam,3,Horses,POM-V,Solution for injection,Neurological Agent sedative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2484502.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1296366.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2484510.PDF
A012570,Tralieve 20 mg Chewable Tablets for Dogs ,Dechra Regulatory BV,<span>Dechra Veterinary Products Limited</span>,50406/3008,2018-07-09,Mutually Recognised,Northern Ireland,Tramadol hydrochloride,3,Dogs,POM-V,Chewable tablet,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2751257.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989731.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2751274.PDF
A012572,Tralieve 80 mg Chewable Tablets for Dogs ,Dechra Regulatory BV,<span>Dechra Veterinary Products Limited</span>,50406/3009,2018-07-09,Mutually Recognised,Northern Ireland,Tramadol hydrochloride,3,Dogs,POM-V,Chewable tablet,Neurological Agent analgesic,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_2751290.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989731.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/PAA_Documents/PAA_2751327.PDF
A012042,Laxatract 667 mg/ml Syrup for Dogs and Cats ,Dechra Regulatory BV,<span>Dechra Regulatory BV</span>,50406/4000,2019-05-22,Mutually Recognised,Northern Ireland,Lactulose,N,"Cats, Dogs",POM-V,Syrup,Gastrointestinal laxative,https://www.vmd.defra.gov.uk/productinformationdatabase/files/SPC_Documents/SPC_1610184.PDF,https://www.vmd.defra.gov.uk/productinformationdatabase/files/UKPAR_Documents/UKPAR_1989406.PDF,
